id,book,book_fr,juan,juan_fr,duke_cn,duke_fr,seq_in_juan,year_cn,year_fr,year_bc,chinese,french
1,春秋,Tch'ouen Ts'iou,卷一,LIVRE I,隐公,In Koung,1.0,隐公一年,PREMIÈRE ANNÉE,721.0,元年春，王正月。,"Au printemps, au premier mois de l’année selon le calendrier impérial."
2,春秋,Tch'ouen Ts'iou,卷一,LIVRE I,隐公,In Koung,2.0,隐公一年,PREMIÈRE ANNÉE,721.0,三月，公及邾仪父盟于蔑。,"Au troisième mois de l’année, In koung et I fou de Tchou conclurent un traité à Mie."
3,春秋,Tch'ouen Ts'iou,卷一,LIVRE I,隐公,In Koung,3.0,隐公一年,PREMIÈRE ANNÉE,721.0,夏五月，郑伯克段于鄢。,"En été, au cinquième mois de l’année, le prince de Tcheng vainquit Touan à Ien."
4,春秋,Tch'ouen Ts'iou,卷一,LIVRE I,隐公,In Koung,4.0,隐公一年,PREMIÈRE ANNÉE,721.0,秋七月，天王使宰咺来归惠公、仲子之赗。,"En automne, au septième mois de l’année, Hiuen, ministre et envoyé du souverain établi par le ciel (l’empereur P’îng ouâng), vint à Lou offrir des voitures et d’autres présents pour les funérailles de Houei koung et de sa femme la princesse Tchoung tseu."
5,春秋,Tch'ouen Ts'iou,卷一,LIVRE I,隐公,In Koung,5.0,隐公一年,PREMIÈRE ANNÉE,721.0,九月，及宋人盟于宿。,"Au neuvième mois, In koung fit un traité avec un envoyé de Soung à Sin."
6,春秋,Tch'ouen Ts'iou,卷一,LIVRE I,隐公,In Koung,6.0,隐公一年,PREMIÈRE ANNÉE,721.0,冬十有二月，祭伯来。,"En hiver, au douzième mois, Pe de Tchai (ou bien Le prince de Tchai) vint à Lou."
7,春秋,Tch'ouen Ts'iou,卷一,LIVRE I,隐公,In Koung,7.0,隐公一年,PREMIÈRE ANNÉE,721.0,公子益师卒。,Koung tseu I cheu mourut.
8,春秋,Tch'ouen Ts'iou,卷一,LIVRE I,隐公,In Koung,8.0,隐公二年,DEUXIÈME ANNÉE,720.0,二年春，公会戎于潜。,"La deuxième année de In koung, au printemps, ce prince eut une entrevue avec le chef des Joung à T sien."
9,春秋,Tch'ouen Ts'iou,卷一,LIVRE I,隐公,In Koung,9.0,隐公二年,DEUXIÈME ANNÉE,720.0,夏五月，莒人入向。,"En été, au cinquième mois, les soldats de Kiu entrèrent dans Chang."
10,春秋,Tch'ouen Ts'iou,卷一,LIVRE I,隐公,In Koung,10.0,隐公二年,DEUXIÈME ANNÉE,720.0,无骇帅师入极。,"Ou hiai, à la tête de ses soldats, entra dans Ki."
11,春秋,Tch'ouen Ts'iou,卷一,LIVRE I,隐公,In Koung,11.0,隐公二年,DEUXIÈME ANNÉE,720.0,秋八月庚辰，公及戎盟于唐。,"En automne, au huitième mois, au jour kēng tch’èn, In koung fit un traité avec les Joung à T’ang."
12,春秋,Tch'ouen Ts'iou,卷一,LIVRE I,隐公,In Koung,12.0,隐公二年,DEUXIÈME ANNÉE,720.0,九月，纪裂繻来逆女。,Au neuvième mois. Li siu de Ki vint chercher une fille.
13,春秋,Tch'ouen Ts'iou,卷一,LIVRE I,隐公,In Koung,13.0,隐公二年,DEUXIÈME ANNÉE,720.0,冬十月，伯姬归于纪。,"En hiver, au dixième mois, la fille aînée du prince de Lou, dont le nom de famille est Ki, alla se marier à Ki."
14,春秋,Tch'ouen Ts'iou,卷一,LIVRE I,隐公,In Koung,14.0,隐公二年,DEUXIÈME ANNÉE,720.0,纪子帛、莒子盟于密。,"Tseu pe (Lie siu ou Li siu,) de Ki et le prince de Kiu firent un traité à Mi."
15,春秋,Tch'ouen Ts'iou,卷一,LIVRE I,隐公,In Koung,15.0,隐公二年,DEUXIÈME ANNÉE,720.0,十有二月乙卯，夫人子氏薨。,"Au douzième mois, le jour ĭ maò, la princesse de Lou Tseu cheu mourut."
16,春秋,Tch'ouen Ts'iou,卷一,LIVRE I,隐公,In Koung,16.0,隐公二年,DEUXIÈME ANNÉE,720.0,郑人伐卫。,Les soldats de Tcheng attaquèrent la principauté de Ouei.
17,春秋,Tch'ouen Ts'iou,卷一,LIVRE I,隐公,In Koung,17.0,隐公三年,TROISIÈME ANNÉE,719.0,三年春，王二月己巳，日有食之。,"La troisième année de In koung, au printemps, au deuxième mois de l’année selon le calendrier impérial, le jour désigné par les lettres kì séu, il y eut éclipse de soleil."
18,春秋,Tch'ouen Ts'iou,卷一,LIVRE I,隐公,In Koung,18.0,隐公三年,TROISIÈME ANNÉE,719.0,三月庚戌，天王崩。,"Au troisième mois, le jour désigné par les lettres kēng siŭ, le souverain établi par le ciel mourut."
19,春秋,Tch'ouen Ts'iou,卷一,LIVRE I,隐公,In Koung,19.0,隐公三年,TROISIÈME ANNÉE,719.0,夏四月辛卯，君氏卒。,"En été, au quatrième mois de l’année, le jour désigné par les lettres sīn maò, la princesse (mère de In koung) mourut."
20,春秋,Tch'ouen Ts'iou,卷一,LIVRE I,隐公,In Koung,20.0,隐公三年,TROISIÈME ANNÉE,719.0,秋，武氏子来求赙。,"En automne, le fils de Ou cheu vint demander des présents pour aider à faire les funérailles de l’empereur P’îng ouâng."
21,春秋,Tch'ouen Ts'iou,卷一,LIVRE I,隐公,In Koung,21.0,隐公三年,TROISIÈME ANNÉE,719.0,八月庚辰，宋公和卒。,"Au huitième mois, le jour désigné par les lettres kēng tch’ên, Houo, prince de Soung, mourut."
22,春秋,Tch'ouen Ts'iou,卷一,LIVRE I,隐公,In Koung,22.0,隐公三年,TROISIÈME ANNÉE,719.0,冬十有二月，齐侯、郑伯盟于石门。,"En hiver, au douzième mois, le prince de Ts’i et le prince de Tcheng firent un traité à Cheu men."
23,春秋,Tch'ouen Ts'iou,卷一,LIVRE I,隐公,In Koung,23.0,隐公三年,TROISIÈME ANNÉE,719.0,癸未，葬宋穆公。,"Le jour désigné par les lettres kouèi ouéi, on enterra le prince Mou de Soung."
24,春秋,Tch'ouen Ts'iou,卷一,LIVRE I,隐公,In Koung,24.0,隐公四年,QUATRIÈME ANNÉE,718.0,四年春，王二月，莒人伐杞，取牟娄。,"Au printemps, au deuxième mois de l’année selon le calendrier impérial, les troupes de Kiu attaquèrent celles de K’i et prirent Meou leou."
25,春秋,Tch'ouen Ts'iou,卷一,LIVRE I,隐公,In Koung,25.0,隐公四年,QUATRIÈME ANNÉE,718.0,戊申，卫州吁弑其君完。,"(Au troisième mois) le jour désigné par les lettres meóu chēn, Tcheou hiu de Ouei tua Houan, son prince."
26,春秋,Tch'ouen Ts'iou,卷一,LIVRE I,隐公,In Koung,26.0,隐公四年,QUATRIÈME ANNÉE,718.0,夏，公及宋公遇于清。,"En été, le prince Tcheou liu de Ouei et le prince de Soung eurent une entrevue à Ts’ing, dans la principauté de Ouei."
27,春秋,Tch'ouen Ts'iou,卷一,LIVRE I,隐公,In Koung,27.0,隐公四年,QUATRIÈME ANNÉE,718.0,宋公、陈侯、蔡人、卫人伐郑。,"Le prince de Soung, le prince de Tch’en, les troupes de Ts’ai et les troupes de Ouei attaquèrent Tcheng."
28,春秋,Tch'ouen Ts'iou,卷一,LIVRE I,隐公,In Koung,28.0,隐公四年,QUATRIÈME ANNÉE,718.0,秋，翚帅师会宋公、陈侯、蔡人、卫人伐郑。,"En automne, Houei (grand préfet de Lou) joignit ses troupes à celles du prince de Soung, du prince de Tch’en, des officiers de Ts’ai et de Ouei; ensemble ils attaquèrent Tcheng."
29,春秋,Tch'ouen Ts'iou,卷一,LIVRE I,隐公,In Koung,29.0,隐公四年,QUATRIÈME ANNÉE,718.0,九月，卫人杀州吁于濮。,"Au neuvième mois, les habitants de Ouei tuèrent Tcheou hiu à Pou (sur le bord de la rivière Pou dans la principauté de Tch’ên)"
30,春秋,Tch'ouen Ts'iou,卷一,LIVRE I,隐公,In Koung,30.0,隐公四年,QUATRIÈME ANNÉE,718.0,冬十有二月，卫人立晋。,"En hiver, au douzième mois, les habitants de Ouei établirent Tsin chef de leur principauté. (Tsin était le frère puîné de Houân kōung)."
31,春秋,Tch'ouen Ts'iou,卷一,LIVRE I,隐公,In Koung,31.0,隐公五年,CINQUIÈME ANNÉE,717.0,五年春，公矢鱼于棠。,"Au printemps, le prince In koung disposa les engins de pêche à T’ang (dans le Iû t’âi hién, préfecture de Tsì nîng tcheōu, Chan toung."
32,春秋,Tch'ouen Ts'iou,卷一,LIVRE I,隐公,In Koung,32.0,隐公五年,CINQUIÈME ANNÉE,717.0,夏四月，葬卫桓公。,"En été, au quatrième mois, eut lieu l’enterrement de Houan koung de Ouei."
33,春秋,Tch'ouen Ts'iou,卷一,LIVRE I,隐公,In Koung,33.0,隐公五年,CINQUIÈME ANNÉE,717.0,秋，卫师入郕。,"En automne, l’armée de Ouei entra dans Tch’eng."
34,春秋,Tch'ouen Ts'iou,卷一,LIVRE I,隐公,In Koung,34.0,隐公五年,CINQUIÈME ANNÉE,717.0,九月，考仲子之宫，初献六羽。,"Au neuvième mois, on termina ou on dédia le temple de Tchoung tseu."
35,春秋,Tch'ouen Ts'iou,卷一,LIVRE I,隐公,In Koung,35.0,隐公五年,CINQUIÈME ANNÉE,717.0,邾人、郑人伐宋。,Les troupes de Tchou et de Tcheng attaquèrent Soung.
36,春秋,Tch'ouen Ts'iou,卷一,LIVRE I,隐公,In Koung,36.0,隐公五年,CINQUIÈME ANNÉE,717.0,螟。,Il y eut des insectes appelés mîng (insectes qui rongent le cœur des céréales.
37,春秋,Tch'ouen Ts'iou,卷一,LIVRE I,隐公,In Koung,37.0,隐公五年,CINQUIÈME ANNÉE,717.0,冬十有二月辛巳，公子彄卒。,"En hiver, au douzième mois, le jour désigné par les lettres sīn séu, le prince K’eou mourut."
38,春秋,Tch'ouen Ts'iou,卷一,LIVRE I,隐公,In Koung,38.0,隐公五年,CINQUIÈME ANNÉE,717.0,宋人伐郑，围长葛。,Les soldats de Soung attaquèrent Tcheng et assiégèrent Tch’ang ko.
39,春秋,Tch'ouen Ts'iou,卷一,LIVRE I,隐公,In Koung,39.0,隐公六年,SIXIÈME ANNÉE,716.0,六年春，郑人来输平。,"Au printemps, les envoyés de Tcheng vinrent chōu p’îng offrir la paix."
40,春秋,Tch'ouen Ts'iou,卷一,LIVRE I,隐公,In Koung,40.0,隐公六年,SIXIÈME ANNÉE,716.0,夏五月辛酉，公会齐侯，盟于艾。,"En été, au cinquième mois, le jour sīn iôu, In koung et le prince de Ts’i firent un traité à Ngai (Chan toung, Î tcheou fou, Môung īn hién)."
41,春秋,Tch'ouen Ts'iou,卷一,LIVRE I,隐公,In Koung,41.0,隐公六年,SIXIÈME ANNÉE,716.0,秋七月。,"En automne, au septième mois."
42,春秋,Tch'ouen Ts'iou,卷一,LIVRE I,隐公,In Koung,42.0,隐公六年,SIXIÈME ANNÉE,716.0,冬，宋人取长葛。,"En hiver, (le prince de Lou fut informé que) l’armée de Soung avait pris Tch’ang ko."
43,春秋,Tch'ouen Ts'iou,卷一,LIVRE I,隐公,In Koung,43.0,隐公七年,SEPTIÈME ANNÉE,715.0,七年春，王三月，叔姬归于纪。,"Au printemps, au troisième mois de l’année selon le calendrier impérial, Chou Ki (la troisième fille de In koung) alla (rejoindre sa sœur aînée Pĕ Kī et) devenir concubine ou femme de second rang au sérail du prince de Ki."
44,春秋,Tch'ouen Ts'iou,卷一,LIVRE I,隐公,In Koung,44.0,隐公七年,SEPTIÈME ANNÉE,715.0,滕侯卒。,Le prince de T’eng mourut.
45,春秋,Tch'ouen Ts'iou,卷一,LIVRE I,隐公,In Koung,45.0,隐公七年,SEPTIÈME ANNÉE,715.0,夏，城中丘。,"En été, on éleva les remparts de Tchoung k’iou."
46,春秋,Tch'ouen Ts'iou,卷一,LIVRE I,隐公,In Koung,46.0,隐公七年,SEPTIÈME ANNÉE,715.0,齐侯使其弟年来聘。,"Le prince de Ts’i envoya Nien, son frère puîné, en mission à la cour de Lou."
47,春秋,Tch'ouen Ts'iou,卷一,LIVRE I,隐公,In Koung,47.0,隐公七年,SEPTIÈME ANNÉE,715.0,秋，公伐邾。,"En automne, le prince de Lou attaqua Tchou."
48,春秋,Tch'ouen Ts'iou,卷一,LIVRE I,隐公,In Koung,48.0,隐公七年,SEPTIÈME ANNÉE,715.0,冬，天王使凡伯来聘。戎伐凡伯于楚丘以归。,"En hiver, le prince de Fan envoyé du fils du ciel, vint saluer le prince de Lou. Les Joung l’attaquèrent à Tch’ou k’iou (dans le Houă hién, Ouei houei fou, Ho nan), et l’emmenèrent chez eux."
49,春秋,Tch'ouen Ts'iou,卷一,LIVRE I,隐公,In Koung,49.0,隐公八年,HUITIÈME ANNEE.,714.0,八年春，宋公、卫侯遇于垂。,"Au printemps, le prince de Soung et le prince de Ouei eurent une entrevue à Tch’ouei."
50,春秋,Tch'ouen Ts'iou,卷一,LIVRE I,隐公,In Koung,50.0,隐公八年,HUITIÈME ANNEE.,714.0,三月，郑伯使宛来归祊。庚寅，我入祊。,"Au troisième mois, Iuen, envoyé du prince de Tcheng, vint nous céder P’eng. Le jour kēng ìn, nous entrâmes dans P’eng."
51,春秋,Tch'ouen Ts'iou,卷一,LIVRE I,隐公,In Koung,51.0,隐公八年,HUITIÈME ANNEE.,714.0,夏六月己亥，蔡侯考父卒。,"En été, au sixième mois, le jour kì hái, K’ao fou, prince de Ts’ai, mourut."
52,春秋,Tch'ouen Ts'iou,卷一,LIVRE I,隐公,In Koung,52.0,隐公八年,HUITIÈME ANNEE.,714.0,辛亥，宿男卒。,"Le jour sīn hái, le prince de Siu mourut."
53,春秋,Tch'ouen Ts'iou,卷一,LIVRE I,隐公,In Koung,53.0,隐公八年,HUITIÈME ANNEE.,714.0,秋七月庚午，宋公、齐侯、卫侯盟于瓦屋。,"En automne, au septième mois, le jour kēng òu, les princes de Soung, de Ts’i et de Ouei conclurent un traité à Oua ou."
54,春秋,Tch'ouen Ts'iou,卷一,LIVRE I,隐公,In Koung,54.0,隐公八年,HUITIÈME ANNEE.,714.0,八月，葬蔡宣公。,"Au huitième mois, Siuen, prince de Ts’ai, fut enterré."
55,春秋,Tch'ouen Ts'iou,卷一,LIVRE I,隐公,In Koung,55.0,隐公八年,HUITIÈME ANNEE.,714.0,九月辛卯，公及莒人盟于浮来。,"Au neuvième mois, le jour sīn maò, le prince de Lou et les envoyés de Kiu conclurent un traité à Feou lai, (dans le Kiù tcheōu, Chan toung)."
56,春秋,Tch'ouen Ts'iou,卷一,LIVRE I,隐公,In Koung,56.0,隐公八年,HUITIÈME ANNEE.,714.0,螟。,"Des insectes, appelés mîng, rongèrent le cœur des céréales."
57,春秋,Tch'ouen Ts'iou,卷一,LIVRE I,隐公,In Koung,57.0,隐公八年,HUITIÈME ANNEE.,714.0,冬十有二月，无骇卒。,"En hiver, au douzième mois, Ou hiai mourut. (Il était parent du prince de Lou en ligne masculine."
